epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,30552.2,0.50046,1.74599,0.79938,0.4336,0.33501,0.36665,0.34523,0.39888,1.39811,0.78153,0.006535,0.006535,0.006535
107,30842.4,0.5002,1.7287,0.79993,0.42785,0.34864,0.37376,0.3522,0.3975,1.36774,0.78141,0.006502,0.006502,0.006502
108,31132.5,0.4988,1.71708,0.79917,0.43813,0.35044,0.37577,0.35389,0.39569,1.36937,0.78093,0.006469,0.006469,0.006469
109,31422.4,0.49638,1.72863,0.79891,0.44406,0.34321,0.37601,0.3541,0.39734,1.37099,0.781,0.006436,0.006436,0.006436
110,31711.6,0.49683,1.70229,0.79878,0.43338,0.35142,0.37635,0.35431,0.39804,1.35822,0.78115,0.006403,0.006403,0.006403
111,32001.4,0.49789,1.73247,0.7989,0.43716,0.35647,0.37746,0.3552,0.39812,1.36611,0.78132,0.00637,0.00637,0.00637
112,32291.6,0.4959,1.7337,0.79945,0.44268,0.35234,0.38157,0.35915,0.39822,1.35401,0.78107,0.006337,0.006337,0.006337
113,32582.2,0.4953,1.71894,0.79825,0.44908,0.35545,0.38359,0.36115,0.3961,1.34981,0.78102,0.006304,0.006304,0.006304
114,32873.1,0.49843,1.70022,0.79939,0.44605,0.35812,0.38659,0.36401,0.39613,1.35264,0.781,0.006271,0.006271,0.006271
115,33164.7,0.49805,1.69603,0.79847,0.45361,0.35562,0.38397,0.36144,0.39606,1.34789,0.781,0.006238,0.006238,0.006238
116,33454.6,0.49358,1.69995,0.79782,0.4414,0.36252,0.3859,0.36331,0.39686,1.35132,0.78083,0.006205,0.006205,0.006205
117,33744.8,0.49809,1.70539,0.79908,0.44878,0.35937,0.38335,0.36114,0.39504,1.34265,0.78087,0.006172,0.006172,0.006172
